name-year,pos,name,weight,height,Age,G,GS,MP,FG%,3P,3P%,3PA,FT,FT%,FTA,ORB,TRB,AST,STL,BLK,TOV,PTS,USG%,TS%,year,Player,Current_Sal,Next_Sal,min_sal_curr,min_sal_next,sal_cap_curr,sal_cap_next,height_ft
Manu_Ginobili_2016,G,Manu-Ginobili,205,6-6,39.0,69.0,0.0,18.7,0.39,1.3,0.392,3.3,1.2,0.804,1.6,0.4,2.3,2.7,1.2,0.2,1.4,7.5,20.4,0.532,2016,Manu Ginobili,16.717079336753663,2.836073183776856,875000.0,1313000.0,94143000.0,99093000.0,6.5
Alex_Len_2016,C,Alex-Len,250,7-0,23.0,77.0,34.0,20.3,0.497,0.0,0.25,0.2,1.9,0.721,2.7,2.0,6.6,0.6,0.5,1.3,1.3,8.0,17.6,0.553,2016,Alex Len,5.759775353387932,4.750534891324311,875000.0,1313000.0,94143000.0,99093000.0,7.0
Derrick_Rose_2016,G,Derrick-Rose,200,6-2,28.0,64.0,64.0,32.5,0.471,0.2,0.217,0.9,3.5,0.874,4.0,1.0,3.8,4.4,0.7,0.3,2.3,18.0,25.7,0.53,2016,Derrick Rose,25.461606814399374,2.8740629512881837,875000.0,1313000.0,94143000.0,99093000.0,6.166666666666667
Bojan_Bogdanovic_2016,G-F,Bojan-Bogdanovic,226,6-7,27.0,81.0,54.0,25.7,0.445,1.8,0.367,4.8,2.7,0.893,3.0,0.5,3.4,1.4,0.4,0.1,1.6,13.7,22.4,0.585,2016,Bojan Bogdanovic,4.2664613437005405,11.911507371862795,875000.0,1313000.0,94143000.0,99093000.0,6.583333333333333
Shabazz_Muhammad_2016,F-G,Shabazz-Muhammad,223,6-6,24.0,78.0,1.0,19.4,0.482,0.6,0.338,1.9,1.9,0.774,2.4,1.1,2.8,0.4,0.3,0.1,0.7,9.9,21.5,0.566,2016,Shabazz Muhammad,3.637515861890953,2.183498416336169,875000.0,1313000.0,94143000.0,99093000.0,6.5
Shaun_Livingston_2016,G,Shaun-Livingston,192,6-7,31.0,76.0,3.0,17.7,0.547,0.0,0.333,0.0,0.6,0.7,0.8,0.4,2.0,1.8,0.5,0.3,0.8,5.1,13.0,0.568,2016,Shaun Livingston,6.904691100772229,8.726379376060871,875000.0,1313000.0,94143000.0,99093000.0,6.583333333333333
David_West_2016,F-C,David-West,250,6-9,36.0,68.0,0.0,12.6,0.536,0.0,0.375,0.1,0.6,0.768,0.8,0.7,3.0,2.2,0.6,0.7,1.1,4.6,17.9,0.571,2016,David West,1.8528004718991322,2.6416909966193374,875000.0,1313000.0,94143000.0,99093000.0,6.75
Justin_Holiday_2016,F,Justin-Holiday,180,6-6,27.0,82.0,4.0,20.0,0.433,1.2,0.355,3.3,0.8,0.825,1.0,0.3,2.7,1.2,0.8,0.4,0.8,7.7,16.9,0.549,2016,Justin Holiday,1.2128193295730962,5.1049317307983415,875000.0,1313000.0,94143000.0,99093000.0,6.5
Dirk_Nowitzki_2016,F,Dirk-Nowitzki,245,7-0,38.0,54.0,54.0,26.4,0.437,1.5,0.378,3.9,1.8,0.875,2.1,0.4,6.5,1.5,0.6,0.7,0.9,14.2,25.8,0.529,2016,Dirk Nowitzki,29.85192738706011,5.672146367553712,875000.0,1313000.0,94143000.0,99093000.0,7.0
Tarik_Black_2016,C-F,Tarik-Black,250,6-9,25.0,67.0,16.0,16.3,0.51,0.0,0.5,0.0,1.2,0.752,1.6,2.1,5.1,0.6,0.4,0.7,0.9,5.7,15.7,0.56,2016,Tarik Black,7.392531298131566,3.7322723098503428,875000.0,1313000.0,94143000.0,99093000.0,6.75
Deron_Williams_2016,G,Deron-Williams,200,6-3,32.0,64.0,44.0,25.9,0.438,1.3,0.363,3.7,1.4,0.826,1.7,0.2,2.3,5.6,0.5,0.1,2.2,11.0,22.1,0.541,2016,Deron Williams,17.77445848634524,6.210758639036056,875000.0,1313000.0,94143000.0,99093000.0,6.25
Ian_Clark_2016,G,Ian-Clark,175,6-3,25.0,77.0,0.0,14.8,0.487,0.8,0.374,2.1,0.6,0.759,0.8,0.3,1.6,1.2,0.5,0.1,0.7,6.8,19.5,0.575,2016,Ian Clark,1.2128193295730962,1.7892558830593481,875000.0,1313000.0,94143000.0,99093000.0,6.25
Rajon_Rondo_2016,G,Rajon-Rondo,180,6-1,30.0,69.0,42.0,26.7,0.408,0.7,0.376,1.9,0.4,0.6,0.7,1.1,5.1,6.7,1.4,0.2,2.4,7.8,17.8,0.461,2016,Rajon Rondo,16.717079336753663,7.146904423117678,875000.0,1313000.0,94143000.0,99093000.0,6.083333333333333
Anthony_Tolliver_2016,F-C,Anthony-Tolliver,240,6-8,31.0,65.0,9.0,22.7,0.442,1.4,0.391,3.5,0.9,0.744,1.3,0.8,3.6,1.2,0.5,0.3,0.9,7.1,13.6,0.595,2016,Anthony Tolliver,9.552616763859234,6.001130856871828,875000.0,1313000.0,94143000.0,99093000.0,6.666666666666667
