Name,Player,Rk,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GS/G,G/MaxG,MP_sq,PTS_sq,Market_Val,Current_Sal
sharifecooper,Sharife Cooper,99,PG,20,ATL,6,0,2.3,0.3,1.0,0.333,0.0,0.3,0.0,0.3,0.7,0.5,0.333,0.0,0.0,0.766,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.2,0.7,0.0,0.2,5.289999999999999,0.48999999999999994,5.946700144019898,
petrcornelie,Petr Cornelie,100,PF,26,DEN,9,0,3.1,0.4,1.3,0.333,0.0,0.7,0.0,0.4,0.7,0.667,0.333,0.0,0.0,0.766,0.7,0.7,1.3,0.3,0.0,0.0,0.2,0.6,0.9,0.0,0.3,9.610000000000001,0.81,5.935382966291624,
demarcuscousins,DeMarcus Cousins,101,C,31,MIL,7,0,12.4,1.3,3.9,0.333,0.4,1.9,0.231,0.9,2.0,0.429,0.389,1.4,1.7,0.833,0.9,3.1,4.0,1.0,0.7,0.1,1.1,2.4,4.4,0.0,0.23333333333333334,153.76000000000002,19.360000000000003,0.20731781776190328,2.004047
robertcovington,Robert Covington,102,PF,31,POR,29,26,27.2,2.4,6.2,0.387,1.5,4.6,0.333,0.9,1.7,0.531,0.508,0.1,0.1,1.0,0.6,4.2,4.7,1.2,1.2,1.1,1.1,2.4,6.4,0.896551724137931,0.9666666666666667,739.8399999999999,40.96000000000001,7.720662485337459,12.975471
torreycraig,Torrey Craig,103,SF,31,IND,27,1,14.8,1.9,4.0,0.481,0.5,2.0,0.264,1.4,2.0,0.691,0.546,0.6,0.8,0.773,1.1,2.0,3.1,0.9,0.4,0.3,0.6,1.5,5.0,0.037037037037037035,0.9,219.04000000000002,25.0,3.797944224394196,4.878049
jaecrowder,Jae Crowder,104,PF,31,PHO,27,27,28.3,3.3,8.2,0.401,1.9,5.4,0.34,1.4,2.8,0.52,0.514,1.0,1.3,0.771,0.4,4.4,4.8,1.4,1.2,0.5,0.9,2.4,9.4,1.0,0.9,800.89,88.36000000000001,10.203837300505462,9.7209
jarrettculver,Jarrett Culver,105,SG,22,MEM,11,0,9.2,1.9,3.6,0.525,0.3,1.1,0.25,1.6,2.5,0.643,0.563,0.4,0.7,0.5,0.2,1.4,1.5,1.3,0.5,0.1,0.3,0.4,4.5,0.0,0.36666666666666664,84.63999999999999,20.25,3.782631745092314,6.39516
cadecunningham,Cade Cunningham,106,PG,20,DET,21,21,32.1,5.8,15.2,0.382,2.3,7.2,0.322,3.5,8.0,0.437,0.459,1.8,2.2,0.826,1.0,5.2,6.2,4.6,1.4,0.6,3.9,2.5,15.8,1.0,0.7,1030.41,249.64000000000001,14.105523434296202,10.05012
sethcurry,Seth Curry,107,SG,31,PHI,26,26,34.2,5.8,11.4,0.508,2.1,5.3,0.394,3.7,6.2,0.606,0.599,2.0,2.3,0.864,0.5,2.5,3.0,2.9,0.8,0.2,1.7,2.4,15.7,1.0,0.8666666666666667,1169.64,246.48999999999998,18.007668688039594,8.186047
stephencurry,Stephen Curry,108,PG,33,GSW,27,27,34.3,8.7,20.3,0.431,5.4,13.4,0.399,3.4,6.8,0.495,0.564,4.0,4.3,0.923,0.7,4.8,5.5,6.1,1.6,0.5,3.3,1.9,26.9,1.0,0.9,1176.4899999999998,723.6099999999999,39.09046081069193,45.780966
