Player,Name,Salary
andrewnicholson,Andrew Nicholson,"$2,844,429"
matissethybulle,Matisse Thybulle,"$2,840,160"
saddiqbey,Saddiq Bey,"$2,824,320"
kaijones,Kai Jones,"$2,770,560"
brandonclarke,Brandon Clarke,"$2,726,880"
preciousachiuwa,Precious Achiuwa,"$2,711,280"
jalenjohnson,Jalen Johnson,"$2,659,560"
etwaunmoore,E'Twaun Moore,"$2,641,691"
udonishaslem,Udonis Haslem,"$2,641,691"
markieffmorris,Markieff Morris,"$2,641,691"
dwighthoward,Dwight Howard,"$2,641,691"
wayneellington,Wayne Ellington,"$2,641,691"
trevorariza,Trevor Ariza,"$2,641,691"
carmeloanthony,Carmelo Anthony,"$2,641,691"
andreiguodala,Andre Iguodala,"$2,641,691"
paulmillsap,Paul Millsap,"$2,641,691"
lamarcusaldridge,LaMarcus Aldridge,"$2,641,691"
jamesjohnson,James Johnson,"$2,641,691"
enesfreedom,Enes Freedom,"$2,641,691"
averybradley,Avery Bradley,"$2,641,691"
eddavis,Ed Davis,"$2,641,691"
grantwilliams,Grant Williams,"$2,617,800"
tyresemaxey,Tyrese Maxey,"$2,602,920"
keonjohnson,Keon Johnson,"$2,553,120"
dariusbazley,Darius Bazley,"$2,513,040"
treylyles,Trey Lyles,"$2,500,000"
zekennaji,Zeke Nnaji,"$2,498,760"
isaiahjackson,Isaiah Jackson,"$2,451,120"
tyjerome,Ty Jerome,"$2,412,840"
hassanwhiteside,Hassan Whiteside,"$2,401,537"
andredrummond,Andre Drummond,"$2,401,537"
kentbazemore,Kent Bazemore,"$2,401,537"
austinrivers,Austin Rivers,"$2,401,537"
tonysnell,Tony Snell,"$2,389,641"
codyzeller,Cody Zeller,"$2,389,641"
benmclemore,Ben McLemore,"$2,389,641"
victoroladipo,Victor Oladipo,"$2,389,641"
ottoporter,Otto Porter,"$2,389,641"
solomonhill,Solomon Hill,"$2,389,641"
leandrobolmaro,Leandro Bolmaro,"$2,353,320"
usmangaruba,Usman Garuba,"$2,353,320"
willyhernangomez,Willy Hernangómez,"$2,327,220"
nassirlittle,Nassir Little,"$2,316,240"
rjhampton,R.J. Hampton,"$2,303,040"
joshchristopher,Josh Christopher,"$2,259,240"
montaellis,Monta Ellis,"$2,245,400"
elfridpayton,Elfrid Payton,"$2,239,544"
rodneyhood,Rodney Hood,"$2,239,544"
jabariparker,Jabari Parker,"$2,239,544"
dylanwindler,Dylan Windler,"$2,239,200"
immanuelquickley,Immanuel Quickley,"$2,210,640"
johnkonchar,John Konchar,"$2,197,674"
quentingrimes,Quentin Grimes,"$2,168,760"
jordanpoole,Jordan Poole,"$2,161,440"
bolbol,Bol Bol,"$2,161,152"
keldonjohnson,Keldon Johnson,"$2,145,720"
paytonpritchard,Payton Pritchard,"$2,137,440"
kevinporterjr,Kevin Porter Jr.,"$2,130,240"
garyclark,Gary Clark,"$3,382,007"
boneshyland,Bones Hyland,"$2,096,880"
raulneto,Raul Neto,"$2,089,448"
frankkaminsky,Frank Kaminsky,"$2,089,448"
nemanjabjelica,Nemanja Bjelica,"$2,089,448"
udokaazubuike,Udoka Azubuike,"$2,075,880"
jadenmcdaniels,Jaden McDaniels,"$2,063,280"
malachiflynn,Malachi Flynn,"$2,048,040"
cameronthomas,Cameron Thomas,"$2,036,280"
desmondbane,Desmond Bane,"$2,033,160"
jadenspringer,Jaden Springer,"$2,023,800"
dayronsharpe,Day'Ron Sharpe,"$2,009,040"
demarcuscousins,DeMarcus Cousins,"$2,004,047"
jeremiahrobinsonearl,Jeremiah Robinson-Earl,"$2,000,000"
abdelnader,Abdel Nader,"$2,000,000"
theomaledon,Théo Maledon,"$2,000,000"
kenrichwilliams,Kenrich Williams,"$2,000,000"
santialdama,Santi Aldama,"$1,994,520"
damianjones,Damian Jones,"$1,977,011"
wesleymatthews,Wesley Matthews,"$1,958,501"
rodneymcgruder,Rodney McGruder,"$1,939,350"
deandrebembry,DeAndre' Bembry,"$1,939,350"
garypaytonii,Gary Payton II,"$1,939,350"
timotheluwawucabarrot,Timothé Luwawu-Cabarrot,"$1,939,350"
damionlee,Damion Lee,"$1,910,860"
larrysanders,Larry Sanders,"$1,865,547"
shakemilton,Shake Milton,"$1,846,738"
mitchellrobinson,Mitchell Robinson,"$1,802,057"
jalenbrunson,Jalen Brunson,"$1,802,057"
semiojeleye,Semi Ojeleye,"$1,789,256"
malikmonk,Malik Monk,"$1,789,256"
frankntilikina,Frank Ntilikina,"$1,789,256"
tonybradley,Tony Bradley,"$1,789,256"
dennissmithjr,Dennis Smith Jr.,"$1,789,256"
denzelvalentine,Denzel Valentine,"$1,789,256"
didilouzada,Didi Louzada,"$1,786,878"
danielgafford,Daniel Gafford,"$1,782,621"
terancemann,Terance Mann,"$1,782,621"
ericpaschall,Eric Paschall,"$1,782,621"
kzokpala,KZ Okpala,"$1,782,621"
codymartin,Cody Martin,"$1,782,621"
nicolasclaxton,Nicolas Claxton,"$1,782,621"
brunofernando,Bruno Fernando,"$1,782,621"
luguentzdort,Luguentz Dort,"$1,782,621"
miyeoni,Miye Oni,"$1,782,621"
isaiahroby,Isaiah Roby,"$1,782,621"
nazreid,Naz Reid,"$1,782,621"
jaylennowell,Jaylen Nowell,"$1,782,621"
vlatkocancar,Vlatko Čančar,"$1,782,621"
deanwade,Dean Wade,"$1,782,621"
jalenmcdaniels,Jalen McDaniels,"$1,782,621"
dreweubanks,Drew Eubanks,"$1,762,796"
chimeziemetu,Chimezie Metu,"$1,762,796"
yutawatanabe,Yuta Watanabe,"$1,762,769"
svimykhailiuk,Svi Mykhailiuk,"$1,729,217"
keitabatesdiop,Keita Bates-Diop,"$1,729,217"
moritzwagner,Moritz Wagner,"$1,729,217"
thanasisantetokounmpo,Thanasis Antetokounmpo,"$1,729,217"
isaacbonga,Isaac Bonga,"$1,729,217"
wayneselden,Wayne Selden,"$1,729,217"
isaiahhartenstein,Isaiah Hartenstein,"$3,430,810"
bradwanamaker,Brad Wanamaker,"$1,729,217"
alizejohnson,Alize Johnson,"$1,729,217"
juantoscanoanderson,Juan Toscano-Anderson,"$1,701,593"
oshaebrissett,Oshae Brissett,"$1,701,593"
kelanmartin,Kelan Martin,"$1,701,593"
mosesbrown,Moses Brown,"$1,701,593"
herbjones,Herb Jones,"$1,700,000"
jordanmclaughlin,Jordan McLaughlin,"$1,669,178"
javontegreen,Javonte Green,"$1,669,178"
maxstrus,Max Strus,"$1,669,178"
gabevincent,Gabe Vincent,"$1,669,178"
kevinpangos,Kevin Pangos,"$1,669,178"
mattthomas,Matt Thomas,"$1,669,178"
xaviertillmansr,Xavier Tillman Sr.,"$1,517,981"
vernoncareyjr,Vernon Carey Jr.,"$1,517,981"
robertwoodard,Robert Woodard,"$1,517,981"
elijahhughes,Elijah Hughes,"$1,517,981"
trejones,Tre Jones,"$1,517,981"
jahmiusramsey,Jahmi'us Ramsey,"$1,517,981"
cjelleby,CJ Elleby,"$1,517,981"
isaiahjoe,Isaiah Joe,"$1,517,981"
najimarshall,Naji Marshall,"$1,517,981"
jordannwora,Jordan Nwora,"$1,517,981"
nickrichards,Nick Richards,"$1,517,981"
sammerrill,Sam Merrill,"$1,517,981"
anthonygill,Anthony Gill,"$1,517,981"
paulreed,Paul Reed,"$1,517,981"
kenyonmartinjr,Kenyon Martin Jr.,"$1,517,981"
jaeseantate,Jae'Sean Tate,"$1,517,981"
lamarstevens,Lamar Stevens,"$1,517,981"
isaiahtodd,Isaiah Todd,"$1,500,000"
sabenlee,Saben Lee,"$1,489,065"
omeryurtseven,Omer Yurtseven,"$1,489,065"
armonibrooks,Armoni Brooks,"$1,489,065"
jaylenmorris,Jaylen Morris,"$1,489,065"
jrsmith,J.R. Smith,"$1,456,666"
demarrecarroll,DeMarre Carroll,"$1,252,127"
jtthor,JT Thor,"$1,250,000"
jasonpreston,Jason Preston,"$1,062,303"
isaiahlivers,Isaiah Livers,"$1,057,260"
guerschonyabusele,Guerschon Yabusele,"$1,039,080"
kylesingler,Kyle Singler,"$999,200"
jaredbutler,Jared Butler,"$925,258"
gregbrowniii,Greg Brown III,"$925,258"
milesmcbride,Miles McBride,"$925,258"
brandonbostonjr,Brandon Boston Jr.,"$925,258"
markosimonovic,Marko Simonovic,"$925,258"
vitkrejci,Vit Krejci,"$925,258"
charlesbassey,Charles Bassey,"$925,258"
dalanobanton,Dalano Banton,"$925,258"
jocklandale,Jock Landale,"$925,258"
ayodosunmu,Ayo Dosunmu,"$925,258"
denzelmahoney,Denzel Mahoney,"$925,258"
austinreaves,Austin Reaves,"$925,258"
lukagarza,Luka Garza,"$925,258"
shaunlivingston,Shaun Livingston,"$666,666"
georgioskalaitzakis,Georgios Kalaitzakis,"$462,629"
samdekker,Sam Dekker,"$350,000"
troywilliams,Troy Williams,"$122,741"
stanleyjohnson,Stanley Johnson,"$118,048"
demetriusjackson,Demetrius Jackson,"$92,857"
