Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
334,Jaylen Nowell,SG,22,MIN,14,0,6.9,1.3,3.4,0.375,0.3,1.0,0.286,1.0,2.4,.412,.417,0.1,0.3,0.5,0.2,0.6,0.9,1.1,0.2,0.3,0.1,0.4,3.0
335,Frank Ntilikina,PG,23,DAL,21,0,11.9,1.4,4.0,0.349,0.7,2.1,0.333,0.7,1.8,.368,.440,0.6,0.6,1.0,0.1,1.4,1.5,1.2,0.6,0.1,0.5,1.0,4.0
336,Jusuf Nurkic,C,27,POR,29,29,25.4,5.1,8.9,0.574,0.2,0.8,0.217,4.9,8.1,.609,.583,3.0,4.0,0.744,2.4,7.8,10.3,2.4,1.1,0.5,2.1,3.1,13.4
337,David Nwaba,SF,29,HOU,20,0,11.6,1.7,3.5,0.471,0.2,0.9,0.167,1.5,2.6,.577,.493,0.8,1.2,0.652,0.8,2.5,3.2,0.7,0.6,0.3,0.5,1.2,4.2
338,Jordan Nwora,SF,23,MIL,24,1,17.1,2.6,6.6,0.39,1.1,3.4,0.333,1.5,3.3,.449,.475,0.5,0.5,0.846,0.5,2.7,3.2,1.0,0.3,0.4,1.1,0.9,6.8
339,Royce O'Neale,SF,28,UTA,25,25,30.8,2.8,5.7,0.5,1.6,3.9,0.402,1.3,1.8,.711,.637,0.5,0.8,0.684,0.9,4.0,5.0,2.4,1.5,0.7,1.1,2.2,7.8
340,Semi Ojeleye,PF,27,MIL,11,0,19.8,1.1,4.3,0.255,0.5,2.5,0.214,0.5,1.7,.316,.319,0.3,0.5,0.6,1.9,1.7,3.6,0.4,0.4,0.5,0.5,1.5,3.0
341,Chuma Okeke,PF,23,ORL,23,1,21.2,2.3,6.9,0.342,0.7,3.3,0.208,1.7,3.5,.469,.392,1.1,1.3,0.862,0.7,3.3,4.0,1.2,0.8,0.3,1.0,1.2,6.5
342,Josh Okogie,SG,23,MIN,19,5,13.9,0.8,2.5,0.333,0.3,1.1,0.25,0.6,1.5,.393,.385,0.6,1.2,0.5,0.9,1.3,2.2,0.9,0.6,0.3,0.5,1.4,2.5
343,Isaac Okoro,SF,21,CLE,23,19,28.8,3.4,7.7,0.444,1.0,3.2,0.301,2.5,4.6,.543,.506,1.5,2.0,0.761,1.3,2.7,4.0,1.7,0.9,0.3,1.1,2.3,9.3
344,KZ Okpala,PF,22,MIA,16,0,10.2,1.0,2.6,0.381,0.4,1.4,0.273,0.6,1.3,.500,.452,0.4,0.5,0.75,0.4,1.5,1.9,0.6,0.2,0.3,0.2,1.1,2.8
345,Kelly Olynyk,C,30,DET,10,1,23.0,4.5,9.8,0.459,1.4,4.1,0.341,3.1,5.7,.544,.531,2.1,3.5,0.6,1.3,4.0,5.3,2.3,1.4,0.7,1.5,2.7,12.5
346,Eugene Omoruyi,SF,24,DAL,4,0,4.5,0.5,1.3,0.4,0.3,0.5,0.5,0.3,0.8,.333,.500,0.5,1.0,0.5,0.5,1.3,1.8,0.5,0.0,0.0,0.0,0.5,1.8
347,Miye Oni,SG,24,UTA,14,0,2.9,0.1,0.5,0.286,0.1,0.4,0.167,0.1,0.1,1.000,.357,0.0,0.1,0.0,0.0,0.4,0.4,0.4,0.0,0.0,0.1,0.4,0.4
348,Cedi Osman,SF,26,CLE,24,0,21.9,3.8,8.6,0.447,2.3,5.6,0.4,1.6,3.0,.535,.578,1.0,1.5,0.676,0.3,2.1,2.5,1.8,1.0,0.3,1.0,1.8,11.0
349,Kelly Oubre Jr,SF,26,CHO,30,9,29.1,6.2,13.4,0.46,2.9,7.6,0.386,3.2,5.8,.557,.570,1.3,2.1,0.629,1.2,2.9,4.1,1.4,1.1,0.3,1.1,2.6,16.6
350,Kevin Pangos,PG,29,CLE,11,0,4.2,0.4,0.8,0.444,0.2,0.5,0.4,0.2,0.4,.500,.556,0.1,0.2,0.5,0.1,0.1,0.2,0.6,0.1,0.0,0.4,0.5,1.0
351,Jabari Parker,PF,26,BOS,9,0,9.3,1.6,3.0,0.519,0.6,1.0,0.556,1.0,2.0,.500,.611,0.9,0.9,1.0,0.4,1.8,2.2,0.4,0.3,0.1,0.6,1.2,4.6
352,Eric Paschall,PF,25,UTA,23,0,10.6,1.1,2.7,0.419,0.5,1.7,0.3,0.6,1.0,.636,.516,0.6,0.8,0.684,0.6,1.2,1.8,0.6,0.1,0.1,0.5,0.7,3.3
353,Chris Paul,PG,36,PHO,27,27,32.7,5.3,11.2,0.474,1.0,2.9,0.333,4.3,8.3,.522,.517,3.0,3.7,0.818,0.3,3.7,4.0,10.3,2.0,0.3,2.4,2.2,14.6
354,Cameron Payne,PG,27,PHO,22,0,19.5,3.8,9.8,0.384,1.1,3.5,0.316,2.7,6.4,.421,.440,1.8,2.2,0.833,0.5,2.5,3.0,3.2,0.5,0.3,1.8,1.8,10.5
355,Elfrid Payton,PG,27,PHO,13,0,11.8,1.7,4.2,0.4,0.1,0.3,0.25,1.6,3.9,.412,.409,0.4,0.8,0.5,0.6,1.5,2.1,2.3,0.4,0.2,0.8,0.8,3.8
356,Gary Payton II,PG,29,GSW,27,1,14.2,2.6,3.8,0.67,0.6,1.3,0.417,2.0,2.5,.806,.743,0.7,1.1,0.655,1.0,2.0,3.0,0.7,1.2,0.3,0.5,1.6,6.4
357,Jamorko Pickett,PF,24,DET,3,0,3.0,0.3,0.3,1.0,0.3,0.3,1.0,0.0,0.0,,1.500,0.0,0.0,0.766,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0
358,Mason Plumlee,C,31,CHO,21,21,26.0,2.9,4.9,0.598,0.0,0.0,0.0,2.9,4.9,.598,.598,0.9,2.6,0.352,2.5,4.7,7.2,2.8,0.9,1.0,1.3,3.0,6.7
359,Jakob Poeltl,C,26,SAS,20,19,28.7,5.7,9.1,0.624,0.0,0.0,0.0,5.7,9.1,.624,.624,1.0,2.6,0.365,4.2,4.6,8.8,2.6,0.5,1.6,1.6,3.0,12.3
360,Aleksej Pokusevski,PF,20,OKC,26,0,14.8,1.9,5.6,0.338,0.5,2.5,0.2,1.4,3.1,.450,.383,0.2,0.5,0.5,1.0,3.3,4.3,1.2,0.5,0.5,1.2,1.2,4.5
361,Yves Pons,SF,22,MEM,3,0,3.7,0.3,1.0,0.333,0.3,0.3,1.0,0.0,0.7,.000,.500,0.0,0.0,0.766,0.3,0.7,1.0,0.0,0.0,0.0,0.0,0.0,1.0
362,Jordan Poole,SG,22,GSW,28,28,30.7,6.2,14.0,0.442,2.6,7.8,0.338,3.5,6.1,.576,.537,2.9,3.1,0.909,0.3,3.1,3.4,3.4,1.0,0.2,2.5,2.9,17.9
363,Kevin Porter Jr,PG,21,HOU,19,19,30.2,4.4,12.2,0.358,1.8,5.8,0.309,2.6,6.4,.402,.431,2.3,3.7,0.629,0.8,3.6,4.4,5.8,1.3,0.3,4.0,2.3,12.8
364,Michael Porter Jr,SF,23,DEN,9,9,29.4,4.1,11.4,0.359,1.1,5.3,0.208,3.0,6.1,.491,.408,0.6,1.0,0.556,1.0,5.6,6.6,1.9,1.1,0.2,1.3,1.8,9.9
365,Otto Porter,PF,28,GSW,24,0,19.6,2.6,5.9,0.444,1.6,4.0,0.402,1.0,1.9,.533,.581,0.6,0.8,0.789,0.8,3.9,4.7,1.0,0.8,0.3,0.6,1.4,7.5
366,Bobby Portis,C,26,MIL,25,21,28.4,6.0,12.6,0.473,1.9,4.7,0.402,4.1,7.9,.515,.548,1.8,2.3,0.793,2.8,6.2,9.0,1.4,0.9,1.0,1.6,2.5,15.6
367,Kristaps Porzingis,PF,26,DAL,21,21,30.2,7.1,16.0,0.443,1.6,5.6,0.288,5.5,10.4,.528,.494,3.9,4.3,0.89,2.2,5.9,8.1,2.0,0.7,1.6,1.4,2.5,19.7
368,Dwight Powell,C,30,DAL,28,25,19.1,2.1,3.6,0.569,0.3,0.7,0.35,1.8,2.9,.622,.603,1.1,1.5,0.698,1.9,2.5,4.4,1.1,0.4,0.5,0.7,2.4,5.5
369,Norman Powell,SF,28,POR,25,25,31.4,6.0,13.0,0.466,2.0,5.0,0.403,4.0,8.0,.505,.543,3.8,4.6,0.825,0.3,2.4,2.7,1.9,0.9,0.4,1.4,2.1,17.8
370,Joshua Primo,SG,19,SAS,8,0,7.4,0.8,1.4,0.545,0.5,1.0,0.5,0.3,0.4,.667,.727,0.0,0.0,0.766,0.1,0.6,0.8,0.5,0.4,0.5,0.0,0.5,2.0
